代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600009	上海机场	+5.94		49.79		+2.79		+0.38		0.10		8893393		0.813		2.17		机场航运	11500↓		47.31		47.00		49.85		47.30		49.80		49.85		23.56		3.67		3800		3700		-60.97		5.43		434,842,590	25161.59	17282		515		4345107		4548286		95943258736	54444189956	--		
SH600017	日照港		+1.86		3.83		+0.07		+0.26		-0.05		8056647		0.262		0.78		港口航运	1000↑		3.74		3.76		3.83		3.74		3.81		3.82		17.25		1.09		51800		45700		-68.87		2.39		30,646,469	5744.42		5335		1510		5891787		2164860		11779754437	11779754437	--		
SH600028	中国石化	+2.37		6.91		+0.16		+0.44		0.01		155236580	0.162		1.18		基础化学	68700↓		6.79		6.75		6.95		6.73		6.90		6.91		11.14		1.12		153200		15200		-44.15		3.26		1,062,821,670	30719.16	34598		4487		86764274	68472306	836602061100	660304197610	--		
SH600031	三一重工	+0.93		8.72		+0.08		-0.11		-0.10		67641255	0.885		0.81		专用设备	400↑		8.75		8.64		8.80		8.56		8.71		8.72		11.20		2.49		12500		13600		+21.18		2.78		588,038,040	20119.69	29227		2314		37129117	30512138	67207742328	66680790112	--		
SH600038	中直股份	-2.83		47.44		-1.38		-0.02		-0.06		9162159		1.55		1.21		国防军工	400↑		48.53		48.82		49.36		46.40		47.39		47.40		98.93		3.82		3800		2300		+29.63		6.06		432,346,360	31997.21	13512		678		3996766		5165393		27964775597	27964775597	--		
SH600055	万东医疗	-0.69		14.39		-0.10		-0.07		-0.06		4190259		0.864		0.76		医疗器械服务	500↑		14.55		14.49		14.69		14.21		14.38		14.40		544.0		4.21		6600		66700		-61.10		3.31		60,575,740	14467.58	4187		1001		1990250		2200009		7782345118	6976962720	--		
SH600057	象屿股份	+1.22		8.32		+0.10		+0.12		-0.02		5182169		0.359		1.15		物流		2200↓		8.24		8.22		8.36		8.14		8.32		8.33		13.15		1.09		16815		38500		-37.86		2.68		42,727,923	9440.55		4526		1145		2629269		2552900		12128390144	12016462016	--		
SH600062	华润双鹤	+3.53		25.22		+0.86		+0.16		0.01		11097300	1.62		1.22		化学制药	1000↓		24.44		24.36		25.44		24.44		25.24		25.27		18.24		2.83		9100		300		-58.50		4.11		278,050,480	22448.77	12386		896		7065111		4032189		21925379247	17301806231	--		
SH600070	浙江富润	-0.32		9.39		-0.03		+0.11		-0.04		1335567		0.333		0.70		纺织制造	3100↓		9.42		9.42		9.51		9.37		9.38		9.39		64.98		2.03		2200		6900		-44.52		1.49		12,580,266	24960.85	504		2650		647669		687898		4901074067	3770255053	--		
SH600080	金花股份	+2.06		10.91		+0.22		+0.83		0.26		5454723		1.79		0.78		生物制品	3100↓		10.72		10.69		10.97		10.56		10.89		10.90		160.4		2.32		11100		500		-52.83		3.84		58,382,687	24896.67	2345		2326		2847604		2607119		4072378864	3330777942	--		
SH600083	博信股份	+2.69		20.96		+0.55		+0.10		0.01		1106416		0.485		2.20		综合		100↑		20.23		20.41		21.06		20.23		20.94		20.95		201.9		68.72		700		300		-86.75		4.07		22,988,327	24879.14	924		1197		665800		440616		4820800000	4778740197	--		
SH600085	同仁堂		+3.32		35.47		+1.14		-0.08		0.12		12858080	0.938		1.23		中药		500--		34.36		34.33		35.95		34.08		35.47		35.48		38.38		5.60		3000		1500		+45.28		5.45		451,686,640	22051.78	20483		628		6299669		6558411		48646051541	48646051541	--		
SH600088	中视传媒	+3.47		13.42		+0.45		-0.45		-0.03		2702186		0.815		1.18		传媒		1400↑		13.09		12.97		13.54		12.81		13.42		13.43		50.33		4.14		1329		1200		-67.34		5.63		35,781,123	15343.53	2332		1159		1684099		1018087		4447683240	4447683240	--		
